Index,X,Y,Inputs,and,Outputs,,,
1,1.1938,5.8166,I(S1;2),O(A1;15),,,,
2,2.8194,5.8166,I(A2;12),I(S3;3),O(S2;1),,,
3,3.2766,5.8166,I(S5;4),O(A3;11),O(S3;2),,,
4,4.8514,5.8166,I(A4;14),I(S7;5),O(S5;3),,,
5,5.3086,5.8166,I(A6;18),O(A5;13),O(S7;4),,,
6,1.1938,5.6642,I(A12;16),O(S2;7),,,,
7,2.8194,5.6642,I(S2;6),O(A11;11),O(S4;8),,,
8,3.2766,5.6642,I(S4;7),I(A10;12),O(S6;9),,,
9,4.8514,5.6642,I(S6;8),O(A9;13),O(S8;10),,,
10,5.3086,5.6642,I(S8;9),I(A8;14),O(A7;17),,,
11,2.9718,5.5118,I(A11;7),I(A3;3),O(S16;21),,,
12,3.1242,5.5118,I(S15;22),O(A10;8),O(A2;2),,,
13,5.0038,5.5118,I(A9;9),I(A5;5),O(S10;23),,,
14,5.1562,5.5118,I(S9;24),O(A4;4),O(A8;10),,,
17,5.7658,5.207,I(A7;10),O(S36;54),,,,
18,5.9182,5.207,I(S37;54),O(A6;5),,,,
21,2.9718,5.1308,I(S16;11),O(A17;26),O(S18;39),O(A18;32),,
22,3.1242,5.1308,I(A16;31),I(S17;40),I(A19;27),O(S15;12),,
23,5.0038,5.1308,I(S10;13),O(A21;28),O(S11;43),,,
24,5.1562,5.1308,I(A20;35),I(S12;44),O(S9;14),,,
25,0.889,4.9784,I(S21;26),O(A111;20),O(A13;36),,,
26,2.8194,4.9784,I(A17;21),I(S20;27),I(A26;40),O(S21;25),,
27,3.2766,4.9784,I(S13;147),O(A19;22),O(S20;26),O(A24;39),,
29,0.889,4.826,I(A110;19),I(A14;37),O(S23;30),,,
32,3.2766,4.826,I(A25;40),I(S19;31),I(A18;21),O(S14;33),,
36,0.5842,4.6736,I(S26;19),I(A13;25),O(S31;45),,,
37,0.7366,4.6736,I(S29;46),O(A14;29),O(S27;20),,,
38,1.65649956,4.43950044,I(A28;47),O(A15;30),,,,
39,2.9718,4.6736,I(A27;31),I(S18;21),I(A24;27),O(S30;48),,
